dataset,material,angle_deg,kind,window,min_spacing_cm,region_min_cm,region_max_cm,n_extrema,interval_mean_um,interval_std_um,interval_count,fod_d_um,fod_r2,fod_rss
SiC_15deg,SiC,15.0,peak,151,200.0,1000.0,4000.0,12,7.678087614259218,0.6638383553273579,11,7.639388027732757,0.9996387829115831,0.05165404364360662
SiC_15deg,SiC,15.0,trough,151,200.0,1000.0,4000.0,11,7.450505420217352,0.6619684185448995,10,7.543143367424286,0.9992717569872426,0.0801067314033173
SiC_15deg,SiC,15.0,peak,151,200.0,1200.0,4000.0,11,7.8136043141040235,0.5317301598546064,10,7.645571790850619,0.9995399412041103,0.05060646754787594
SiC_15deg,SiC,15.0,trough,151,200.0,1200.0,4000.0,10,7.276529339918265,1.021745998349726,9,7.419752192934801,0.9962458670113217,0.3097159715659648
SiC_15deg,SiC,15.0,peak,151,200.0,1500.0,3500.0,8,7.711980218794807,0.38889582194284283,7,7.626765322110213,0.9997761513686465,0.009401642516845199
SiC_15deg,SiC,15.0,trough,151,200.0,1500.0,3500.0,7,7.652176788830847,0.18523048916952423,6,7.591683230835548,0.99987243332706,0.0035718668423192768
SiC_15deg,SiC,15.0,peak,151,200.0,1700.0,3000.0,5,7.6699567674796345,0.4203073932165882,4,7.631387424194731,0.9996442787292829,0.00355721270717194
SiC_15deg,SiC,15.0,trough,151,200.0,1700.0,3000.0,4,7.59351378534313,0.09561183608919675,3,7.568574541375064,0.9999342592104322,0.000328703947839139
SiC_15deg,SiC,15.0,peak,151,240.0,1000.0,4000.0,10,6.67185734389054,1.4699176220186643,9,6.520773343168718,0.9835253935832884,1.3591550293787125
SiC_15deg,SiC,15.0,trough,151,240.0,1000.0,4000.0,11,7.450505420217352,0.6619684185448995,10,7.543143367424286,0.9992717569872426,0.0801067314033173
SiC_15deg,SiC,15.0,peak,151,240.0,1200.0,4000.0,9,6.715474434900463,1.553582307702949,8,6.650878099717474,0.9814894545905541,1.1106327245667504
SiC_15deg,SiC,15.0,trough,151,240.0,1200.0,4000.0,10,7.276529339918265,1.021745998349726,9,7.419752192934801,0.9962458670113217,0.3097159715659648
SiC_15deg,SiC,15.0,peak,151,240.0,1500.0,3500.0,6,6.862965220897382,1.546798147658936,5,6.465572560666176,0.9786485956188811,0.3736495766695804
SiC_15deg,SiC,15.0,trough,151,240.0,1500.0,3500.0,7,7.652176788830847,0.18523048916952423,6,7.591683230835548,0.99987243332706,0.0035718668423192768
SiC_15deg,SiC,15.0,peak,151,240.0,1700.0,3000.0,4,6.408468096574886,1.8598637996245762,3,5.557668448034684,0.9763845279731598,0.11807736013420139
SiC_15deg,SiC,15.0,trough,151,240.0,1700.0,3000.0,4,7.59351378534313,0.09561183608919675,3,7.568574541375064,0.9999342592104322,0.000328703947839139
