scenario,dataset,angle_deg,thickness_um,weighted_rmse,affine_scale,affine_offset,effective_points,point_weight_sum
frequency_downweighted,joint,,7.5,0.0016971564185529,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.505,0.0012170712993068325,1.0005405620306447,-0.004509912763948076,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.505,0.0025539877246141458,1.1101771699856902,-0.0158932738242695,865,415.2
frequency_downweighted,joint,,7.505,0.0017430712043457754,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.51,0.0012515567342093528,1.0015931341533795,-0.00470216200190135,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.51,0.002638569485510829,1.108752067044216,-0.015633747164247924,865,415.2
frequency_downweighted,joint,,7.51,0.0017972666691476386,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.515,0.0012971680246096514,1.002480895552565,-0.004864665597285489,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.515,0.0027251648111581046,1.1071381950060566,-0.015339628069409444,865,415.2
frequency_downweighted,joint,,7.515,0.0018590028258746163,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.52,0.0013527544957626537,1.0032017598008263,-0.004997052405995128,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.52,0.002813414664177961,1.1053384313733277,-0.015011451493576244,865,415.2
frequency_downweighted,joint,,7.52,0.001927440463663758,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.525,0.001417095452883139,1.003753893912398,-0.005098996859093957,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.525,0.0029029907036661096,1.1033560623146637,-0.014649827217405653,865,415.2
frequency_downweighted,joint,,7.525,0.0020017099777813567,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.53,0.0014889898241356007,1.0041357244056444,-0.005170220013277993,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.53,0.0029935931516481403,1.101194769916314,-0.014255437451974162,865,415.2
frequency_downweighted,joint,,7.53,0.002080964903812665,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.535,0.001567314832254412,1.0043459433281654,-0.00521049059617168,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.535,0.0030849485482782363,1.0988586182284292,-0.013829034223005993,865,415.2
frequency_downweighted,joint,,7.535,0.002164416622165425,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.54,0.0016510569472200102,1.0043835142605206,-0.0052196260497008595,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.54,0.0031768075198754415,1.0963520383146734,-0.01337143657431844,865,415.2
frequency_downweighted,joint,,7.54,0.0022513522544942784,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.545,0.001739322350928003,1.0042476783012997,-0.005197493572368955,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.545,0.0032689426382869606,1.0936798125084364,-0.012883527628143987,865,415.2
frequency_downweighted,joint,,7.545,0.002341140168905298,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.55,0.0018313343771067766,1.003937960021919,-0.005144011158656203,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.55,0.003361146417166846,1.0908470580695964,-0.01236625153825513,865,415.2
frequency_downweighted,joint,,7.55,0.0024332276387697546,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.555,0.0019264238706565063,1.00345417336442,-0.005059148631014393,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.555,0.0034532294678661164,1.0878592104222302,-0.011820610369306234,865,415.2
frequency_downweighted,joint,,7.555,0.002527134269558648,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.56,0.002024016526207352,1.0027964274401404,-0.00494292865712298,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.56,0.0035450188222928346,1.0847220061365994,-0.011247660932645343,865,415.2
frequency_downweighted,joint,,7.56,0.002622443659093443,,,1730,1055.3
